,,,,,,,,,,,,,,,,,,,PER 24hs,,,,,
N,Dia,Hora de captura,Temp (°),Humedad (%),Nº de cepo,Guardian o Recolector,Nido,tiempo de incubadora,"Tratamiento (Sin Olor, sin  CNA, Caf, Arg, C+A)",E1,E2,E3,E4,E5,E6,LIO 40,NONA 40,Muere,LIO 24hs,NONA 24 hs,Peso,Peso total,Peso cepo,Peso neto
114,30/9/24,13:47,27,93,13,G,5,,ARG+CAF,N,T,A,T,T,A,0,0,0,0,0,"0,2032","13,8074","13,6042",
115,30/9/24,13:47,27,93,14,G,5,,ARG+CAF,T,T,A,A,A,A,1,0,0,1,0,"0,1562","13,0528","12,8966",
116,30/9/24,13:47,27,93,15,G,5,,SIN OLOR,T,T,T,T,T,T,0,0,0,0,0,"0,2038","13,05","12,8462",
117,30/9/24,13:47,27,93,16,G,5,,SIN OLOR,T,T,T,T,T,T,0,0,0,0,0,"0,1332","13,3753","13,2421",
118,1/10/24,10:30,19,44,1,G,5,2:30,SIN OLOR,T,T,T,T,T,T,0,0,1,F,F,0,,,"0,1795"
119,1/10/24,10:30,19,44,2,G,5,,SIN CNA,T,T,N,T,T,A,0,0,1,F,F,0,,,"0,1678"
120,1/10/24,10:30,19,44,3,G,5,,SIN CNA,T,T,T,T,T,A,1,0,1,F,F,0,,,"0,1778"
121,1/10/24,10:30,19,44,4,G,5,,SIN CNA,N,T,A,T,T,T,0,-,1,F,F,0,,,"0,2544"
122,1/10/24,10:30,19,44,5,G,5,,SIN CNA,N,N,N,T,T,T,1,0,1,F,F,0,,,"0,149"
123,1/10/24,10:30,19,44,6,G,5,,CAF,T,N,T,T,A,A,1,0,0,1,0,"0,2033","13,0237","12,8204","0,2033"
124,1/10/24,10:30,19,44,7,G,5,,CAF,T,T,A,A,A,A,1,0,0,1,0,"0,1324","12,9875","12,8551","0,1324"
125,1/10/24,10:30,19,44,8,G,5,,CAF,T,T,T,T,A,A,1,0,0,1,0,"0,1749","13,4062","13,2313","0,1749"
126,1/10/24,10:30,19,44,9,G,5,,CAF,T,T,T,A,A,A,1,0,0,1,0,"0,1248","12,9367","12,8119","0,1248"
127,1/10/24,10:30,19,44,10,G,5,,ARG,T,T,T,A,A,A,1,-,0,(++),0,"0,2275","12,9176","12,6901","0,2275"
128,1/10/24,10:30,19,44,11,G,5,,ARG,T,T,T,T,T,T,0,0,0,1,0,"0,1245","12,9961","12,8716","0,1245"
129,1/10/24,10:30,19,44,12,G,5,,ARG,T,N,T,T,T,T,0,0,0,(++),0,"0,1678","12,8754","12,7076","0,1678"
130,1/10/24,10:30,19,44,13,G,5,,ARG,T,T,T,T,T,T,1,0,0,1,0,"0,1492","12,9635","12,8143","0,1492"
131,1/10/24,10:30,19,44,14,G,5,,CAF+ARG,T,T,T,A,A,A,1,0,0,1,0,"0,2145","12,9022","12,6877","0,2145"
132,1/10/24,10:30,19,44,15,G,5,,CAF+ARG,N,T,A,T,T,T,1,0,0,1,0,"0,1887","13,2397","13,051","0,1887"
133,1/10/24,10:30,19,44,16,G,5,,CAF+ARG,N,T,T,T,A,A,1,0,1,F,F,0,,,"0,2621"
134,1/10/24,10:30,19,44,17,G,5,,F,F,F,F,F,F,F,1hr,F,1,F,F,#VALUE!,F,F,"0,178"
